Q,A__0.wav__target_result_pesq_mean,A__0.wav__target_result_pesq_std,A__0.wav__target_reconstruction_pesq_mean,A__0.wav__target_reconstruction_pesq_std,A__0.wav__target_result_stoi_mean,A__0.wav__target_result_stoi_std,A__0.wav__target_reconstruction_stoi_mean,A__0.wav__target_reconstruction_stoi_std,A__0.wav__reconstruction_leakage_distraction_mean,A__0.wav__reconstruction_leakage_distraction_std,A__1.wav__target_result_pesq_mean,A__1.wav__target_result_pesq_std,A__1.wav__target_reconstruction_pesq_mean,A__1.wav__target_reconstruction_pesq_std,A__1.wav__target_result_stoi_mean,A__1.wav__target_result_stoi_std,A__1.wav__target_reconstruction_stoi_mean,A__1.wav__target_reconstruction_stoi_std,A__1.wav__reconstruction_leakage_distraction_mean,A__1.wav__reconstruction_leakage_distraction_std,B__0.wav__target_result_pesq_mean,B__0.wav__target_result_pesq_std,B__0.wav__target_reconstruction_pesq_mean,B__0.wav__target_reconstruction_pesq_std,B__0.wav__target_result_stoi_mean,B__0.wav__target_result_stoi_std,B__0.wav__target_reconstruction_stoi_mean,B__0.wav__target_reconstruction_stoi_std,B__0.wav__reconstruction_leakage_distraction_mean,B__0.wav__reconstruction_leakage_distraction_std,B__1.wav__target_result_pesq_mean,B__1.wav__target_result_pesq_std,B__1.wav__target_reconstruction_pesq_mean,B__1.wav__target_reconstruction_pesq_std,B__1.wav__target_result_stoi_mean,B__1.wav__target_result_stoi_std,B__1.wav__target_reconstruction_stoi_mean,B__1.wav__target_reconstruction_stoi_std,B__1.wav__reconstruction_leakage_distraction_mean,B__1.wav__reconstruction_leakage_distraction_std
1,2.49596784512202,0.215401763822414,4.1497859954834,0.06750026289913,0.916763263159842,0.012900769062641,0.989581262734963,0.001920763521787,31.1177683386799,9.12006750968778,2.50590705871582,0.13427236480155,4.13743929068248,0.070724033133448,0.917604984174966,0.010741917622702,0.989082507704761,0.001868271209665,30.7395022000848,11.5059220516212,2.39277243614197,0.194971153480231,4.11599151293437,0.086375946507836,0.898003761617949,0.015226972365106,0.983707297809718,0.004450004328131,30.8485369969406,14.1003561748064,2.63484513759613,0.167233116349728,4.17943696180979,0.035920206944174,0.930484632676363,0.012030724215079,0.988293253450184,0.001239306223104,24.2763325846484,10.4857883442605
3,2.7281170686086,0.224925989869073,3.55009438594182,0.210239225167371,0.93359154183559,0.009072185772724,0.967648204810613,0.005667437940915,19.9761562493155,9.23908622208804,2.73439933856328,0.164626576827265,3.60256663958232,0.176196572829932,0.936905914575176,0.008611417872857,0.966792837780369,0.006166372769076,18.6990741177779,10.2087319388024,2.68270019690196,0.242006233502754,3.57103838523229,0.209021206840248,0.917166553553563,0.0151990633111,0.957578525483044,0.010986420217385,19.6235843126805,13.1649929924229,2.90540872017542,0.193213794270998,3.65325945615768,0.158941063065997,0.94137311201406,0.008707452507402,0.965045252340956,0.003518506012694,13.2742439436237,10.1755199382275
5,2.71743915478388,0.210446610598865,3.11547893285751,0.223871465220727,0.928137025433007,0.01005420908246,0.946464689461508,0.008456635073383,13.1438076697868,8.44039438380036,2.71878709395727,0.189040963158099,3.15695136785507,0.227670210369739,0.928943147846507,0.010577745326689,0.943383673349874,0.009778280802747,11.4381249560017,8.8858801325821,2.73413221041361,0.230686997507376,3.20502545436223,0.226210570905509,0.916312408174407,0.015281829523594,0.938216233209701,0.013263448189786,13.1730307901051,11.8858152445037,2.86296317974726,0.187787429870501,3.21860120693843,0.158924248978515,0.933165018571365,0.0094125952327,0.944663231385496,0.006528671610184,8.79509178583238,8.43157126653191
7,2.58140526215235,0.188520566348063,2.76347202062607,0.193861981109404,0.914738225435748,0.011800306701203,0.924805267285625,0.010974745476232,8.35669506570902,7.29386370494501,2.60134029388428,0.189178724337405,2.80342503388723,0.212339663935739,0.911750054002997,0.013214414546142,0.918843680020184,0.013287145837822,7.07370608349928,7.05516469173142,2.66009207566579,0.20510598175754,2.89548263947169,0.198640683669309,0.909306865171963,0.014523931342113,0.921329073283741,0.013908881658523,9.66580306401354,9.50730187113894,2.713003774484,0.18539844724209,2.87443425258001,0.173217594673755,0.920652899076147,0.010381640020659,0.926584781161101,0.008765758555922,6.04399020365999,7.02835247286755
9,2.41531161467234,0.175194333812261,2.49346514542898,0.181052235931127,0.897077606795618,0.014210919353681,0.902383976567591,0.013983048919656,5.1894859792383,6.06136315508577,2.43242832024892,0.171015262532654,2.52210845549901,0.1866998872651,0.890891913931347,0.016765881828703,0.894157588212055,0.017275384224108,4.66501070737525,5.62336529345433,2.52065320809682,0.169700629375084,2.62923647960027,0.164817259202267,0.897438590371148,0.014558116570463,0.903832591093051,0.014629509961062,7.16883284970393,7.77583911313294,2.53502025206884,0.176321493188832,2.60866349935532,0.170993948697606,0.905207130617584,0.012174102528498,0.908393519067958,0.011325131283394,4.39999588946036,5.78897523510151
11,2.23588623603185,0.164272517390737,2.26908741394679,0.167078607733732,0.875756088891653,0.017258302910246,0.878341366946296,0.017397683337663,3.52908288124992,5.26731644727007,2.26494683821996,0.147717939403349,2.29936538139979,0.153244719847689,0.867874934449536,0.019849772127516,0.869217983061692,0.020368364453886,3.0630582775444,4.55451076689248,2.36929871638616,0.153697275997795,2.41710827747981,0.153141772005212,0.881986271177227,0.014992394782465,0.885496978217549,0.01541989381488,5.3587301364349,6.16697809945886,2.35590336720149,0.143439670783779,2.386168440183,0.143977250634808,0.887616185708805,0.014276581471916,0.889365210410357,0.01386826239952,3.1557948144748,4.63911727035093
13,2.06812796990077,0.148594175937898,2.08210057020187,0.14880333986807,0.852521875760392,0.020018935313464,0.853467040547622,0.020579627807248,2.60471998520735,4.78307875517237,2.10157303015391,0.131444951963864,2.1134387354056,0.134024403547354,0.843892636621489,0.022114841447232,0.84431470476863,0.022577775484965,2.60723141502145,4.03379241083957,2.2158943216006,0.140188361349032,2.23674271504084,0.140196677253023,0.864223867960181,0.016325277656527,0.86607018796035,0.016889852302177,3.95624204845992,4.9903998085462,2.18359178304672,0.128460157671435,2.19837244351705,0.127516968317483,0.868820935665281,0.016590100793228,0.869804916356065,0.016405728892448,2.51887133899781,3.82525126830211
15,1.9132068157196,0.125611790661407,1.91852949062983,0.125349922168973,0.828805297771743,0.022740155758251,0.828993092196276,0.023392741960346,2.31644911374083,4.48882179149939,1.96516857544581,0.119217290581645,1.96890712777774,0.118281782940821,0.82026183968358,0.024334684335123,0.820455730804429,0.024670661873987,2.42242074957549,3.79046585670918,2.07561845580737,0.138380729189754,2.08547203739484,0.140931985329876,0.846414035822959,0.018137291174965,0.847328651142981,0.018760387958757,2.9373737585222,4.1262102667154,2.03320847948392,0.109395904948278,2.03978927930196,0.110644823679557,0.849571085297229,0.018488569977688,0.850101648440379,0.018434777663548,1.98118463754499,3.14959826079546
17,1.78679516911507,0.107062780102446,1.78956685463587,0.106333305894434,0.805805732122437,0.025407299805965,0.805680234404326,0.025936270440266,2.30164067767868,4.81427202478513,1.84409858783086,0.112746635669059,1.84445497393608,0.108962526669736,0.797189406505196,0.026174305353214,0.797153742094056,0.026334853513925,2.42131088913594,4.10785827059404,1.9570995370547,0.131373900383502,1.96108517050743,0.133647114907759,0.829403512913363,0.020882845668956,0.829745587670693,0.021616640124693,2.31263639430138,3.52567398452788,1.90436841050784,0.09737551307074,1.90779030323029,0.099396830533478,0.831118580310243,0.020781968472623,0.831199371687026,0.020840336386702,1.66538433680378,3.01526392037585
19,1.68683141469955,0.093407543093238,1.68762907385826,0.092117891224143,0.783889718672503,0.027721804689877,0.78364876890368,0.028103165505387,3.12874329347449,5.58697512327159,1.7391614317894,0.096065591733373,1.73900540669759,0.095095289943866,0.774977027911928,0.02757629486165,0.77457947571805,0.027824476583317,3.05457047573559,4.71980390569419,1.85499197244644,0.118047057932042,1.85586201151212,0.120135522789892,0.813055072010442,0.023380004505925,0.813118467370447,0.02402218188604,2.11618747962814,3.27376975634058,1.81568431854248,0.096259649817873,1.81741671760877,0.096927524771873,0.813531465485175,0.023863541820678,0.813485957863488,0.02397515172191,1.45981857398649,2.80880278988525
21,1.60423520207405,0.089501511028233,1.60409746567408,0.08770967537695,0.76494353890819,0.029398880416051,0.764654273873561,0.02963103417428,4.03448612685509,6.30073090012898,1.65364117423693,0.080879790451426,1.65286362171173,0.081678119508519,0.756268578120306,0.028149207089072,0.755732639214626,0.028361586821653,4.09607074314809,5.82165880040197,1.77162602543831,0.108980430825867,1.77166421214739,0.109347909584112,0.796893304045473,0.025907739147772,0.79692191002061,0.026484202769301,2.47299529854351,3.35179967031168,1.72901359200478,0.102890724943602,1.73026102781296,0.102788201548189,0.798122705569414,0.027326423873287,0.797884751225125,0.027459765278195,1.42929433092611,2.96017990349565
