samples,audio
5000,-50
5001,-131
5002,324
5003,288
5004,-19
5005,61
5006,-167
5007,-418
5008,-69
5009,156
5010,-200
5011,-166
5012,401
5013,241
5014,-70
5015,336
5016,417
5017,-348
5018,-205
5019,339
5020,11
5021,-503
5022,-119
5023,144
5024,67
5025,105
5026,255
5027,29
5028,-112
5029,213
5030,325
5031,-11
5032,115
5033,111
5034,-221
5035,-263
5036,-31
5037,-19
5038,-172
5039,-123
5040,285
5041,216
5042,-50
5043,264
5044,197
5045,-175
5046,-5
5047,22
5048,-344
5049,-264
5050,-48
5051,-57
5052,-202
5053,177
5054,344
5055,-206
5056,-189
5057,372
5058,80
5059,-313
5060,60
5061,108
5062,-247
5063,-55
5064,10
5065,-15
5066,7
5067,-92
5068,88
5069,242
5070,-142
5071,-76
5072,178
5073,-136
5074,-87
5075,-73
5076,-66
5077,-245
5078,-346
5079,-192
5080,-217
5081,-42
5082,112
5083,59
5084,238
5085,253
5086,258
5087,309
5088,123
5089,39
5090,51
5091,-94
5092,68
5093,0
5094,-22
5095,-11
5096,-129
5097,-247
5098,-162
5099,-163
5100,-115
5101,91
5102,-5
5103,-118
5104,74
5105,102
5106,71
5107,-2
5108,-16
5109,144
5110,61
5111,-93
5112,-43
5113,-81
5114,49
5115,151
5116,27
5117,19
5118,88
5119,113
5120,116
5121,-17
5122,-26
5123,-66
5124,-196
5125,-130
5126,-133
5127,-264
5128,-162
5129,-105
5130,-125
5131,2
5132,-10
5133,-30
5134,47
5135,55
5136,68
5137,47
5138,-42
5139,-37
5140,-31
5141,-18
5142,-55
5143,-180
5144,-48
5145,47
5146,-48
5147,70
5148,198
5149,222
5150,241
5151,197
5152,295
5153,310
5154,115
5155,152
5156,288
5157,59
5158,10
5159,-40
5160,-121
5161,-138
5162,-230
5163,-267
5164,-177
5165,-257
5166,-236
5167,-202
5168,-251
5169,-172
5170,-95
5171,-156
5172,12
5173,25
5174,23
5175,120
5176,199
5177,196
5178,130
5179,143
5180,358
5181,117
5182,-121
5183,217
5184,277
5185,-88
5186,-265
5187,-162
5188,17
5189,-123
5190,-249
5191,-122
5192,-215
5193,17
5194,386
5195,-155
5196,-178
5197,433
5198,0
5199,-137
5200,260
5201,361
5202,139
5203,133
5204,458
5205,250
5206,-321
5207,-198
5208,-177
5209,-1002
5210,-54
5211,319
5212,-466
5213,-799
5214,-383
5215,142
5216,-112
5217,-490
5218,32
5219,514
5220,101
5221,1047
5222,909
5223,181
5224,247
5225,-11
5226,-253
5227,5
5228,618
5229,336
5230,-624
5231,-712
5232,536
5233,26
5234,-615
5235,-287
5236,-248
5237,201
5238,424
5239,-410
5240,-821
5241,-511
5242,-596
5243,-836
5244,-284
5245,532
5246,296
5247,-653
5248,685
5249,1520
5250,185
5251,-90
5252,632
5253,388
5254,2
5255,-88
5256,309
5257,512
5258,-440
5259,-462
5260,317
5261,-9
5262,-273
5263,-269
5264,-449
5265,405
5266,670
5267,-363
5268,-584
5269,413
5270,76
5271,-891
5272,-173
5273,740
5274,-284
5275,-913
5276,512
5277,693
5278,-316
5279,309
5280,697
5281,-92
5282,-215
5283,408
5284,351
5285,-57
5286,-5
5287,259
5288,-332
5289,-671
5290,337
5291,300
5292,-613
5293,127
5294,880
5295,5
5296,-440
5297,188
5298,47
5299,-513
5300,-101
5301,390
5302,-163
5303,-158
5304,379
5305,-219
5306,-104
5307,503
5308,-374
5309,-534
5310,714
5311,205
5312,-1112
5313,-311
5314,904
5315,-195
5316,-1508
5317,-353
5318,860
5319,-278
5320,-648
5321,329
5322,546
5323,-17
5324,-142
5325,107
5326,183
5327,255
5328,191
5329,65
5330,184
5331,499
5332,47
5333,-433
5334,279
5335,597
5336,-375
5337,-561
5338,160
5339,115
5340,-637
5341,128
5342,455
5343,-534
5344,-1020
5345,306
5346,130
5347,-608
5348,-39
5349,728
5350,336
5351,27
5352,327
5353,409
5354,246
5355,-10
5356,-345
5357,-404
5358,-94
5359,136
5360,-129
5361,-255
5362,-25
5363,63
5364,155
5365,280
5366,353
5367,213
5368,116
5369,166
5370,-45
5371,-475
5372,-12
5373,168
5374,-439
5375,-393
5376,219
5377,251
5378,-1
5379,94
5380,165
5381,68
5382,6
5383,102
5384,11
5385,-224
5386,-223
5387,16
5388,-63
5389,-248
5390,-401
5391,-316
5392,6
5393,186
5394,52
5395,-29
5396,198
5397,231
5398,-91
5399,-296
5400,-12
5401,-67
5402,-262
5403,-157
5404,-66
5405,-8
5406,108
5407,241
5408,169
5409,239
5410,224
5411,130
5412,-25
5413,-10
5414,65
5415,-48
5416,-162
5417,-141
5418,-152
5419,-223
5420,-84
5421,82
5422,52
5423,41
5424,133
5425,130
5426,72
5427,70
5428,97
5429,46
5430,54
5431,37
5432,-141
5433,-131
5434,14
5435,-3
5436,-58
5437,40
5438,116
5439,12
5440,-32
5441,108
5442,104
5443,-45
5444,-47
5445,26
5446,-34
5447,-82
5448,-5
5449,113
5450,62
5451,7
5452,110
5453,32
5454,-43
5455,-29
5456,-30
5457,-103
5458,-8
5459,-95
5460,-211
5461,-66
5462,114
5463,-20
5464,-99
5465,145
5466,146
5467,-106
5468,-20
5469,130
5470,-9
5471,-65
5472,25
5473,-133
5474,-158
5475,-67
5476,-65
5477,-80
5478,34
5479,126
5480,99
5481,-146
5482,-39
5483,178
5484,-1
5485,-43
5486,-50
5487,-114
5488,-155
5489,-18
5490,-82
5491,-31
5492,10
5493,-16
5494,74
5495,143
5496,214
5497,145
5498,155
5499,131
5500,128
5501,75
5502,-4
5503,32
5504,-21
5505,-61
5506,-96
5507,-60
5508,-21
5509,-72
5510,66
5511,10
5512,-10
5513,32
5514,-12
5515,-13
5516,-8
5517,34
5518,-54
5519,-48
5520,17
5521,-10
5522,-83
5523,14
5524,116
5525,7
5526,-87
5527,-27
5528,35
5529,-104
5530,-74
5531,-2
5532,-80
5533,-48
5534,-26
5535,-18
5536,-33
5537,21
5538,117
5539,-12
5540,-11
5541,219
5542,21
5543,-225
5544,84
5545,152
5546,-148
5547,-50
5548,67
5549,40
5550,-16
5551,-3
5552,92
5553,13
5554,55
5555,-11
5556,-277
5557,-39
5558,171
5559,-270
5560,-109
5561,55
5562,-211
5563,-49
5564,25
5565,252
5566,351
5567,-780
5568,-447
5569,820
5570,587
5571,-595
