samples,audio
5000,-1302
5001,-436
5002,226
5003,-427
5004,-368
5005,561
5006,758
5007,97
5008,-1
5009,374
5010,163
5011,-423
5012,-672
5013,-491
5014,-749
5015,-520
5016,99
5017,674
5018,1081
5019,1262
5020,594
5021,529
5022,906
5023,315
5024,-1342
5025,-1304
5026,-590
5027,-695
5028,-1350
5029,-695
5030,578
5031,600
5032,-158
5033,390
5034,1285
5035,517
5036,-181
5037,179
5038,186
5039,-239
5040,-304
5041,182
5042,386
5043,528
5044,43
5045,-8
5046,171
5047,-63
5048,-583
5049,-892
5050,-1020
5051,-711
5052,-580
5053,-787
5054,-36
5055,621
5056,186
5057,904
5058,1870
5059,1040
5060,541
5061,1273
5062,564
5063,-579
5064,-1032
5065,-1056
5066,-986
5067,-1047
5068,-1111
5069,-397
5070,241
5071,178
5072,454
5073,1061
5074,553
5075,101
5076,484
5077,335
5078,-240
5079,-224
5080,-406
5081,-458
5082,-468
5083,-573
5084,-465
5085,-216
5086,-373
5087,-82
5088,350
5089,57
5090,-85
5091,414
5092,419
5093,296
5094,440
5095,518
5096,551
5097,768
5098,420
5099,194
5100,55
5101,-150
5102,-201
5103,-311
5104,-911
5105,-733
5106,-161
5107,-245
5108,-558
5109,-386
5110,-299
5111,-110
5112,2
5113,26
5114,21
5115,192
5116,94
5117,351
5118,574
5119,352
5120,336
5121,762
5122,559
5123,361
5124,259
5125,24
5126,-173
5127,-281
5128,-726
5129,-706
5130,-554
5131,-541
5132,-447
5133,19
5134,-56
5135,-83
5136,222
5137,436
5138,365
5139,197
5140,-175
5141,125
5142,385
5143,38
5144,-186
5145,81
5146,-63
5147,-35
5148,87
5149,18
5150,-149
5151,105
5152,100
5153,152
5154,142
5155,24
5156,68
5157,189
5158,-187
5159,-236
5160,-172
5161,-343
5162,-375
5163,23
5164,-103
5165,-166
5166,115
5167,325
5168,155
5169,163
5170,-35
5171,-56
5172,-112
5173,-145
5174,88
5175,211
5176,-185
5177,169
5178,740
5179,522
5180,-22
5181,217
5182,252
5183,10
5184,-223
5185,-281
5186,-241
5187,20
5188,-124
5189,130
5190,212
5191,-162
5192,-33
5193,55
5194,-718
5195,-255
5196,-552
5197,-1177
5198,452
5199,1877
5200,318
5201,633
5202,2344
5203,2515
5204,1119
5205,37
5206,-369
5207,-696
5208,-2128
5209,-2601
5210,-2434
5211,-2255
5212,-2517
5213,-1124
5214,-372
5215,405
5216,389
5217,1616
5218,1657
5219,1678
5220,1491
5221,1486
5222,921
5223,455
5224,235
5225,-548
5226,-448
5227,-1252
5228,-865
5229,-926
5230,-470
5231,-893
5232,-1529
5233,-504
5234,1627
5235,673
5236,-1831
5237,-134
5238,796
5239,343
5240,-619
5241,-132
5242,605
5243,1311
5244,1495
5245,2033
5246,2273
5247,1023
5248,1751
5249,723
5250,-2156
5251,-2392
5252,-450
5253,-1941
5254,-3555
5255,-1510
5256,-334
5257,-423
5258,-807
5259,373
5260,883
5261,597
5262,473
5263,768
5264,1579
5265,949
5266,2099
5267,2303
5268,-237
5269,271
5270,2801
5271,710
5272,-2297
5273,-351
5274,123
5275,-1245
5276,-2414
5277,-1477
5278,-985
5279,-1529
5280,-1251
5281,-370
5282,689
5283,54
5284,1457
5285,2500
5286,-110
5287,-104
5288,2314
5289,1049
5290,-1769
5291,-298
5292,463
5293,-503
5294,-1316
5295,-620
5296,-202
5297,-800
5298,-738
5299,-92
5300,755
5301,-140
5302,849
5303,2438
5304,-90
5305,-573
5306,2366
5307,1427
5308,-1930
5309,-671
5310,762
5311,-335
5312,-1608
5313,-1129
5314,-178
5315,-425
5316,-783
5317,-445
5318,888
5319,429
5320,591
5321,2134
5322,471
5323,-696
5324,1344
5325,1663
5326,-1236
5327,-1188
5328,213
5329,-8
5330,-1319
5331,-1276
5332,-618
5333,-707
5334,-929
5335,-727
5336,378
5337,640
5338,658
5339,1380
5340,940
5341,360
5342,1033
5343,993
5344,-352
5345,-254
5346,352
5347,-88
5348,-720
5349,-356
5350,-111
5351,-377
5352,-1173
5353,-1050
5354,38
5355,616
5356,72
5357,647
5358,755
5359,862
5360,1111
5361,589
5362,-785
5363,-443
5364,236
5365,-211
5366,-914
5367,-893
5368,-447
5369,-121
5370,-444
5371,-1167
5372,-910
5373,-112
5374,350
5375,494
5376,252
5377,337
5378,1264
5379,1356
5380,25
5381,-393
5382,91
5383,289
5384,-83
5385,-395
5386,-397
5387,64
5388,63
5389,-251
5390,-293
5391,-389
5392,-547
5393,40
5394,637
5395,232
5396,348
5397,889
5398,832
5399,407
5400,138
5401,-94
5402,-42
5403,-117
5404,-615
5405,-518
5406,-278
5407,-564
5408,-766
5409,-362
5410,-612
5411,-463
5412,-156
5413,27
5414,211
5415,537
5416,452
5417,624
5418,837
5419,452
5420,564
5421,641
5422,304
5423,-227
5424,-45
5425,-318
5426,-387
5427,-627
5428,-885
5429,-709
5430,-201
5431,-156
5432,-170
5433,189
5434,113
5435,431
5436,651
5437,349
5438,161
5439,681
5440,468
5441,22
5442,-1
5443,-113
5444,-343
5445,-466
5446,-820
5447,-596
5448,-483
5449,-431
5450,-175
5451,447
5452,147
5453,222
5454,722
5455,636
5456,353
5457,436
5458,439
5459,238
5460,186
5461,-24
5462,37
5463,-247
5464,-781
5465,-742
5466,-307
5467,-594
5468,-774
5469,-404
5470,57
5471,93
5472,201
5473,91
5474,440
5475,647
5476,378
5477,385
5478,398
5479,311
5480,265
5481,405
5482,-392
5483,-408
5484,-195
5485,-247
5486,-546
5487,-284
5488,-380
5489,-201
5490,164
5491,-8
5492,18
5493,232
5494,250
5495,181
5496,404
5497,251
5498,310
5499,260
5500,-38
5501,-200
5502,13
5503,-280
5504,-486
5505,-413
5506,-364
5507,-220
5508,-104
5509,-316
5510,-125
5511,369
5512,208
5513,64
5514,343
5515,551
5516,407
5517,368
5518,132
5519,81
5520,82
5521,-230
5522,-156
5523,-124
5524,-466
5525,-453
5526,95
5527,-131
5528,-343
5529,-167
5530,75
5531,97
5532,46
5533,47
5534,400
5535,416
5536,-67
5537,110
5538,489
5539,-115
5540,-380
5541,-42
5542,22
5543,-283
5544,-263
5545,-239
5546,-13
5547,77
5548,-159
5549,-121
5550,182
5551,176
5552,338
5553,385
5554,253
5555,22
5556,281
5557,31
5558,621
5559,-985
5560,338
5561,101
5562,-780
5563,-1906
5564,1935
5565,1187
5566,-1921
5567,-1825
5568,1223
5569,1337
5570,-105
5571,-152
5572,-1616
5573,-132
5574,2054
5575,1042
5576,-1694
5577,-440
5578,1377
5579,225
5580,-200
5581,-23
5582,-502
5583,691
5584,135
5585,-685
5586,-248
5587,108
5588,466
5589,-186
5590,-621
5591,128
5592,685
5593,14
5594,-478
5595,295
5596,436
5597,57
5598,-246
5599,-156
5600,95
5601,282
5602,-305
5603,-390
5604,-58
5605,363
5606,-10
5607,-534
5608,-428
5609,328
5610,617
5611,-443
5612,-446
5613,307
5614,416
5615,-117
5616,-250
5617,-105
5618,290
5619,249
5620,-342
5621,-223
5622,154
5623,73
5624,-48
5625,-52
5626,-61
5627,71
5628,230
5629,103
5630,-130
5631,72
5632,168
5633,401
5634,-40
5635,-344
5636,199
5637,358
5638,-175
5639,-367
5640,85
5641,-130
