samples,audio
5000,-1353
5001,-568
5002,551
5003,-138
5004,-387
5005,622
5006,590
5007,-320
5008,-70
5009,530
5010,-36
5011,-589
5012,-271
5013,-250
5014,-820
5015,-184
5016,516
5017,325
5018,876
5019,1601
5020,606
5021,25
5022,786
5023,459
5024,-1274
5025,-1198
5026,-335
5027,-665
5028,-1463
5029,-482
5030,903
5031,588
5032,-42
5033,501
5034,1063
5035,253
5036,-213
5037,159
5038,14
5039,-362
5040,-18
5041,399
5042,336
5043,793
5044,240
5045,-183
5046,166
5047,-41
5048,-928
5049,-1157
5050,-1069
5051,-768
5052,-783
5053,-609
5054,308
5055,415
5056,-3
5057,1276
5058,1951
5059,727
5060,602
5061,1382
5062,317
5063,-635
5064,-1022
5065,-1072
5066,-979
5067,-1139
5068,-1022
5069,-154
5070,98
5071,102
5072,632
5073,925
5074,465
5075,28
5076,418
5077,90
5078,-586
5079,-416
5080,-623
5081,-501
5082,-355
5083,-514
5084,-227
5085,37
5086,-114
5087,226
5088,473
5089,97
5090,-33
5091,320
5092,488
5093,296
5094,418
5095,506
5096,422
5097,520
5098,258
5099,31
5100,-60
5101,-59
5102,-207
5103,-429
5104,-836
5105,-630
5106,-90
5107,-248
5108,-574
5109,-242
5110,-238
5111,-203
5112,-41
5113,-54
5114,70
5115,343
5116,122
5117,371
5118,662
5119,466
5120,452
5121,744
5122,533
5123,294
5124,62
5125,-105
5126,-307
5127,-546
5128,-888
5129,-811
5130,-680
5131,-538
5132,-457
5133,-10
5134,-9
5135,-28
5136,290
5137,484
5138,322
5139,160
5140,-206
5141,106
5142,330
5143,-142
5144,-234
5145,128
5146,-111
5147,34
5148,285
5149,240
5150,91
5151,303
5152,395
5153,463
5154,258
5155,176
5156,357
5157,249
5158,-176
5159,-277
5160,-294
5161,-482
5162,-605
5163,-243
5164,-280
5165,-424
5166,-120
5167,122
5168,-95
5169,-8
5170,-130
5171,-213
5172,-100
5173,-120
5174,111
5175,332
5176,13
5177,366
5178,870
5179,665
5180,335
5181,335
5182,131
5183,227
5184,54
5185,-369
5186,-507
5187,-141
5188,-106
5189,6
5190,-36
5191,-285
5192,-248
5193,73
5194,-332
5195,-411
5196,-730
5197,-744
5198,452
5199,1740
5200,579
5201,995
5202,2484
5203,2648
5204,1577
5205,287
5206,-691
5207,-894
5208,-2305
5209,-3604
5210,-2489
5211,-1936
5212,-2983
5213,-1923
5214,-755
5215,548
5216,276
5217,1125
5218,1690
5219,2192
5220,1593
5221,2534
5222,1831
5223,636
5224,483
5225,-559
5226,-701
5227,-1246
5228,-247
5229,-590
5230,-1094
5231,-1605
5232,-993
5233,-478
5234,1012
5235,385
5236,-2079
5237,67
5238,1220
5239,-66
5240,-1440
5241,-644
5242,8
5243,474
5244,1211
5245,2566
5246,2569
5247,369
5248,2437
5249,2243
5250,-1970
5251,-2482
5252,181
5253,-1552
5254,-3552
5255,-1599
5256,-24
5257,88
5258,-1248
5259,-88
5260,1200
5261,587
5262,199
5263,499
5264,1130
5265,1355
5266,2769
5267,1939
5268,-821
5269,684
5270,2877
5271,-181
5272,-2471
5273,389
5274,-160
5275,-2159
5276,-1901
5277,-784
5278,-1301
5279,-1219
5280,-554
5281,-463
5282,474
5283,463
5284,1808
5285,2443
5286,-116
5287,154
5288,1982
5289,378
5290,-1432
5291,2
5292,-149
5293,-376
5294,-436
5295,-615
5296,-643
5297,-611
5298,-691
5299,-606
5300,654
5301,250
5302,685
5303,2279
5304,289
5305,-792
5306,2261
5307,1930
5308,-2305
5309,-1205
5310,1477
5311,-130
5312,-2720
5313,-1441
5314,725
5315,-621
5316,-2291
5317,-798
5318,1749
5319,151
5320,-56
5321,2464
5322,1018
5323,-713
5324,1201
5325,1771
5326,-1053
5327,-932
5328,404
5329,57
5330,-1134
5331,-776
5332,-570
5333,-1140
5334,-649
5335,-129
5336,3
5337,79
5338,818
5339,1496
5340,302
5341,489
5342,1488
5343,458
5344,-1373
5345,52
5346,483
5347,-697
5348,-760
5349,372
5350,224
5351,-350
5352,-846
5353,-640
5354,284
5355,605
5356,-272
5357,243
5358,661
5359,999
5360,981
5361,333
5362,-811
5363,-379
5364,392
5365,69
5366,-561
5367,-680
5368,-331
5369,44
5370,-489
5371,-1642
5372,-923
5373,55
5374,-89
5375,100
5376,472
5377,588
5378,1263
5379,1450
5380,190
5381,-324
5382,97
5383,391
5384,-71
5385,-620
5386,-621
5387,81
5388,0
5389,-499
5390,-695
5391,-705
5392,-540
5393,226
5394,689
5395,202
5396,546
5397,1120
5398,740
5399,111
5400,125
5401,-162
5402,-304
5403,-275
5404,-681
5405,-527
5406,-169
5407,-322
5408,-596
5409,-122
5410,-387
5411,-333
5412,-182
5413,17
5414,276
5415,488
5416,290
5417,483
5418,684
5419,228
5420,479
5421,723
5422,357
5423,-186
5424,88
5425,-188
5426,-315
5427,-556
5428,-787
5429,-662
5430,-147
5431,-118
5432,-311
5433,57
5434,127
5435,428
5436,592
5437,389
5438,277
5439,694
5440,435
5441,131
5442,102
5443,-158
5444,-390
5445,-439
5446,-855
5447,-678
5448,-488
5449,-317
5450,-113
5451,454
5452,258
5453,255
5454,679
5455,607
5456,323
5457,333
5458,431
5459,142
5460,-25
5461,-91
5462,152
5463,-268
5464,-880
5465,-596
5466,-160
5467,-701
5468,-795
5469,-273
5470,47
5471,28
5472,227
5473,-42
5474,282
5475,579
5476,313
5477,304
5478,432
5479,437
5480,364
5481,259
5482,-431
5483,-230
5484,-196
5485,-290
5486,-596
5487,-398
5488,-535
5489,-220
5490,81
5491,-40
5492,28
5493,216
5494,325
5495,324
5496,618
5497,397
5498,466
5499,391
5500,90
5501,-124
5502,8
5503,-247
5504,-508
5505,-474
5506,-461
5507,-281
5508,-125
5509,-388
5510,-58
5511,379
5512,197
5513,96
5514,330
5515,537
5516,399
5517,402
5518,78
5519,32
5520,100
5521,-241
5522,-239
5523,-109
5524,-350
5525,-446
5526,7
5527,-158
5528,-308
5529,-272
5530,1
5531,95
5532,-33
5533,-1
5534,373
5535,397
5536,-100
5537,132
5538,606
5539,-127
5540,-391
5541,176
5542,43
5543,-509
5544,-179
5545,-86
5546,-162
5547,26
5548,-91
5549,-81
5550,165
5551,172
5552,431
5553,399
5554,308
5555,10
5556,3
5557,-8
5558,793
5559,-1255
5560,229
5561,157
5562,-991
5563,-1956
5564,1960
5565,1439
5566,-1569
5567,-2606
5568,775
5569,2157
5570,481
5571,-747
5572,-2036
5573,-115
5574,2269
5575,1087
5576,-1423
5577,-158
5578,638
5579,-211
5580,127
5581,583
5582,207
5583,364
5584,-1355
5585,-1078
5586,719
5587,1145
5588,361
5589,-1567
5590,-1378
5591,867
5592,1630
5593,350
5594,-1173
5595,-225
5596,843
5597,511
5598,-38
5599,-285
5600,-542
5601,151
5602,334
5603,70
5604,-402
5605,-535
5606,-13
5607,194
5608,-102
5609,561
5610,449
5611,-997
5612,-486
5613,757
5614,686
5615,-274
5616,-687
5617,-55
5618,460
5619,228
5620,-367
5621,-280
5622,363
5623,169
5624,-313
5625,63
5626,255
5627,-127
5628,41
5629,135
5630,-60
5631,48
5632,-1
5633,306
5634,-45
5635,-399
5636,152
5637,242
5638,-284
5639,-367
5640,68
