samples,audio
28000,1621.5124011649336
28001,759.0688239684413
28002,765.8018214206649
28003,712.7086431619831
28004,-10.213549383169948
28005,-288.96768122445746
28006,-604.5567619833332
28007,-726.9838840316045
28008,-933.252220592213
28009,-904.3650238036098
28010,-1168.3256227491129
28011,-1140.137421452655
28012,-405.80389684232614
28013,-529.3285966831628
28014,-776.7151374806098
28015,217.03279764388296
28016,671.9114611036678
28017,545.9170430226495
28018,834.0456734344955
28019,1057.2934245038311
28020,1265.6563127679415
28021,1060.1303013974898
28022,772.7113024747733
28023,229.39517928802707
28024,193.1777486403014
28025,-169.9452168285716
28026,-795.9779863083868
28027,-1247.9248684748202
28028,-934.7902091369808
28029,-1081.5783888777119
28030,-1839.2938206880651
28031,-1829.9409475973832
28032,-1657.5242403003817
28033,-1951.0481947826229
28034,-2418.5173299457547
28035,-2284.9361852338707
28036,-2226.309318262317
28037,-2318.6413024502526
28038,-2025.9367246582674
28039,-2154.2001828323087
28040,-2120.4362836551622
28041,-1643.6496402066991
28042,-1643.8448696340884
28043,-1750.0265908331276
28044,-1579.1994221418354
28045,-1197.3679790474137
28046,-1443.5368719076728
28047,-1244.7107036879702
28048,-1519.894067714703
28049,-1585.0915454463548
28050,-1147.3077042630784
28051,-1223.5470952757662
28052,-1608.814251155537
28053,-1689.1136839845522
28054,-1165.4498831290312
28055,-1184.8273131353183
28056,-1266.2504116498355
28057,-1107.7235873637378
28058,-570.2512179830487
28059,-82.83764822504327
28060,479.5128121583816
28061,1609.7958903296085
28062,1486.0073522857806
28063,1614.1430047501499
28064,3272.1986970336484
28065,2789.1703228659935
28066,2384.0538221956963
28067,3104.845182958336
28068,3923.5404428124766
28069,3380.135690842616
28070,2654.6270692285702
28071,3275.010774880695
28072,3422.283061040391
28073,2037.4402388453175
28074,1987.478678858761
28075,1525.3948125626114
28076,642.1851338134189
28077,-120.15379973899633
28078,-241.6253652708781
28079,-896.2328734423124
28080,-911.9795670939188
28081,-1408.868619982931
28082,-1557.903135559101
28083,-1820.086145780856
28084,-1933.4206099721196
28085,-1660.9094137201776
28086,-1673.5553678149788
28087,-1742.3612072301985
28088,-913.3295901463936
28089,-463.4630970165663
28090,189.23577032559444
28091,691.7645895145265
28092,766.1210184584304
28093,1802.302796101515
28094,1683.3077431426607
28095,981.1337627103405
28096,1394.7788409936622
28097,1404.2410478294046
28098,483.518537244968
28099,-129.39045204283167
28100,-4.487596173170573
28101,178.2255142691713
28102,-911.2526253799995
28103,-1514.9234335422498
28104,-1498.7882421185698
28105,-1781.8482962554006
28106,-2672.1047541545236
28107,-3408.558686926645
28108,-2836.211078488485
28109,-3249.062825503166
28110,-3286.1147373636195
28111,-3594.3675362187437
28112,-3082.8218570420095
28113,-2653.4782477421363
28114,-2665.337169315468
28115,-2713.3989960396593
28116,-1995.664015708206
28117,-1551.132429905355
28118,-1075.8043543208948
28119,-854.6798191043019
28120,-220.75876925768011
28121,-404.04106506692324
28122,-122.52648257048668
28123,-4.214714065153885
28124,-232.10536864813025
28125,-918.1979727948193
28126,-3.4919709715804856
28127,-74.98672628277859
28128,-1045.6815211513933
28129,-290.5755580324678
28130,-219.66796015865782
28131,-300.9577723171159
28132,-109.44396165695946
28133,669.8745814734439
28134,1440.9990426601557
28135,874.9306825290794
28136,1096.6708358238916
28137,2776.220910457267
28138,2488.5823865361745
28139,1987.7568153620268
28140,2848.745818406442
28141,3865.5510862634037
28142,3188.1743775785544
28143,3151.617517956384
28144,3060.8823988460645
28145,4151.970976406643
28146,2792.885270352303
28147,3094.6273627784267
28148,2762.199396969125
28149,2396.6035761869516
28150,1407.8421624454395
28151,1490.917475265131
28152,409.83189041374885
28153,602.5878386311424
28154,-317.8121956603727
28155,-170.36567565966288
28156,-855.0700135038282
28157,-859.9225715980388
28158,-907.9206639575905
28159,-936.0615575615893
28160,-1466.3424737177152
28161,-434.7605894374717
28162,-307.31303882139764
28163,-143.99691445365283
28164,195.19073119453856
28165,18.252884353147465
28166,1138.1925685338388
28167,840.0128431032422
28168,662.7168018495411
28169,1165.3075715428952
28170,1276.7883104902376
28171,271.1622070849696
28172,432.4324783520816
28173,212.60236848922318
28174,446.67514740426304
28175,-630.3458907501492
28176,-839.4574290444762
28177,-701.6561292421222
28178,-1338.9386332706458
28179,-2408.301564693829
28180,-2449.7415301840556
28181,-2751.255120994454
28182,-3307.8389144302287
28183,-3404.489475318644
28184,-3436.2033574770844
28185,-2894.977105178601
28186,-3042.807254614372
28187,-2640.690335352473
28188,-2773.6228717923987
28189,-1821.6013846147011
28190,-1453.6223922251368
28191,-1332.682412192706
28192,-1343.777962680965
28193,-93.9055638719924
28194,-464.06173938237555
28195,-466.2430176705793
28196,171.55406656492005
28197,547.3329709973743
28198,-236.90285570600076
28199,446.8500247493414
28200,430.5950389303813
28201,5.335600334004198
28202,5.075108057431294
