samples,audio
5000,-100
5001,-221
5002,305
5003,200
5004,-224
5005,64
5006,-61
5007,-468
5008,-160
5009,237
5010,-111
5011,-218
5012,346
5013,416
5014,-165
5015,146
5016,542
5017,-287
5018,-325
5019,371
5020,-83
5021,-602
5022,-32
5023,203
5024,-133
5025,-18
5026,376
5027,43
5028,-331
5029,266
5030,390
5031,-204
5032,70
5033,149
5034,-305
5035,-229
5036,36
5037,-81
5038,-157
5039,-135
5040,277
5041,195
5042,-88
5043,275
5044,253
5045,-147
5046,35
5047,122
5048,-230
5049,-283
5050,-27
5051,79
5052,-314
5053,17
5054,554
5055,-217
5056,-360
5057,562
5058,205
5059,-481
5060,154
5061,232
5062,-451
5063,-216
5064,81
5065,120
5066,-221
5067,-425
5068,426
5069,593
5070,-661
5071,-179
5072,1045
5073,75
5074,-813
5075,-268
5076,1052
5077,615
5078,-904
5079,-958
5080,-105
5081,688
5082,463
5083,-319
5084,-240
5085,-83
5086,-156
5087,67
5088,-28
5089,-104
5090,-108
5091,-217
5092,372
5093,572
5094,410
5095,96
5096,-472
5097,-838
5098,-469
5099,-140
5100,307
5101,801
5102,546
5103,162
5104,172
5105,-24
5106,-101
5107,-238
5108,-354
5109,-182
5110,-371
5111,-473
5112,-143
5113,-135
5114,282
5115,581
5116,409
5117,418
5118,320
5119,101
5120,71
5121,-274
5122,-397
5123,-386
5124,-570
5125,-348
5126,-213
5127,-260
5128,12
5129,127
5130,137
5131,357
5132,229
5133,273
5134,334
5135,152
5136,134
5137,96
5138,-156
5139,-134
5140,-214
5141,-244
5142,-198
5143,-408
5144,-289
5145,-113
5146,-276
5147,-70
5148,148
5149,189
5150,313
5151,226
5152,228
5153,341
5154,174
5155,222
5156,388
5157,122
5158,85
5159,-46
5160,-260
5161,-156
5162,-309
5163,-334
5164,-117
5165,-218
5166,-214
5167,-97
5168,-239
5169,-97
5170,-3
5171,-90
5172,196
5173,101
5174,40
5175,227
5176,183
5177,264
5178,280
5179,56
5180,253
5181,187
5182,-95
5183,186
5184,86
5185,-172
5186,-176
5187,-232
5188,-167
5189,-202
5190,-307
5191,-129
5192,-161
5193,-150
5194,189
5195,-73
5196,-87
5197,227
5198,-48
5199,-33
5200,139
5201,122
5202,123
5203,135
5204,223
5205,318
5206,-72
5207,-73
5208,110
5209,-201
5210,260
5211,322
5212,-148
5213,-229
5214,-206
5215,-84
5216,-145
5217,-528
5218,-254
5219,93
5220,-156
5221,388
5222,378
5223,-83
5224,38
5225,-103
5226,-145
5227,82
5228,333
5229,331
5230,-123
5231,-253
5232,315
5233,-49
5234,-329
5235,93
5236,52
5237,294
5238,475
5239,11
5240,-314
5241,-207
5242,-311
5243,-421
5244,-298
5245,-63
5246,-47
5247,-476
5248,70
5249,483
5250,-15
5251,56
5252,358
5253,182
5254,188
5255,107
5256,112
5257,250
5258,-199
5259,-219
5260,157
5261,-121
5262,-145
5263,-9
5264,-121
5265,230
5266,308
5267,-116
5268,-259
5269,17
5270,-144
5271,-495
5272,-211
5273,179
5274,-214
5275,-475
5276,267
5277,411
5278,-27
5279,321
5280,401
5281,14
5282,-3
5283,249
5284,209
5285,45
5286,-15
5287,90
5288,-191
5289,-407
5290,14
5291,0
5292,-314
5293,88
5294,292
5295,-104
5296,-237
5297,-21
5298,-92
5299,-249
5300,-34
5301,156
5302,-71
5303,-34
5304,304
5305,-23
5306,62
5307,449
5308,49
5309,-83
5310,431
5311,196
5312,-387
5313,-60
5314,333
5315,-133
5316,-693
5317,-184
5318,317
5319,-214
5320,-282
5321,127
5322,116
5323,-141
5324,-164
5325,-52
5326,-29
5327,32
5328,63
5329,25
5330,49
5331,221
5332,83
5333,-133
5334,244
5335,408
5336,-66
5337,-271
5338,109
5339,116
5340,-392
5341,50
5342,479
5343,-396
5344,-867
5345,243
5346,248
5347,-566
5348,-88
5349,619
5350,184
5351,-185
5352,312
5353,359
5354,10
5355,-63
5356,-244
5357,-476
5358,-181
5359,220
5360,-99
5361,-238
5362,157
5363,159
5364,32
5365,364
5366,526
5367,64
5368,-126
5369,173
5370,-44
5371,-642
5372,-92
5373,154
5374,-540
5375,-403
5376,449
5377,255
5378,-159
5379,283
5380,530
5381,23
5382,-164
5383,179
5384,13
5385,-471
5386,-255
5387,161
5388,-149
5389,-180
5390,52
5391,-39
5392,10
5393,331
5394,273
5395,-100
5396,30
5397,279
5398,-172
5399,-528
5400,14
5401,-41
5402,-456
5403,-6
5404,197
5405,-94
5406,16
5407,457
5408,182
5409,-75
5410,198
5411,195
5412,-395
5413,-310
5414,290
5415,-16
5416,-373
5417,90
5418,144
5419,-389
5420,-25
5421,523
5422,109
5423,-133
5424,320
5425,143
5426,-338
5427,-106
5428,47
5429,-333
5430,-114
5431,225
5432,-319
5433,-253
5434,442
5435,304
5436,-153
5437,206
5438,384
5439,-173
5440,-358
5441,162
5442,228
5443,-217
5444,-113
5445,127
5446,-50
5447,-228
5448,-29
5449,218
5450,104
5451,-19
5452,174
5453,79
5454,-120
5455,-32
5456,-56
5457,-187
5458,38
5459,-20
5460,-288
5461,-74
