samples,audio
5000,-1463
5001,-404
5002,366
5003,-419
5004,-413
5005,661
5006,886
5007,39
5008,-101
5009,393
5010,194
5011,-467
5012,-713
5013,-494
5014,-854
5015,-651
5016,192
5017,923
5018,1155
5019,1140
5020,558
5021,685
5022,996
5023,197
5024,-1521
5025,-1411
5026,-546
5027,-676
5028,-1399
5029,-660
5030,692
5031,562
5032,-267
5033,370
5034,1321
5035,524
5036,-233
5037,223
5038,227
5039,-275
5040,-293
5041,328
5042,540
5043,602
5044,57
5045,12
5046,197
5047,-84
5048,-654
5049,-985
5050,-1028
5051,-675
5052,-571
5053,-777
5054,-36
5055,558
5056,149
5057,868
5058,1846
5059,1135
5060,680
5061,1308
5062,517
5063,-702
5064,-1195
5065,-1310
5066,-1265
5067,-1202
5068,-1067
5069,-258
5070,452
5071,472
5072,713
5073,1305
5074,793
5075,283
5076,550
5077,414
5078,-161
5079,-166
5080,-397
5081,-514
5082,-566
5083,-685
5084,-578
5085,-308
5086,-465
5087,-196
5088,241
5089,36
5090,-101
5091,389
5092,407
5093,327
5094,460
5095,524
5096,515
5097,709
5098,383
5099,151
5100,-23
5101,-194
5102,-207
5103,-278
5104,-850
5105,-719
5106,-201
5107,-255
5108,-511
5109,-317
5110,-231
5111,-64
5112,16
5113,33
5114,42
5115,222
5116,141
5117,411
5118,617
5119,393
5120,349
5121,757
5122,517
5123,274
5124,158
5125,-43
5126,-244
5127,-323
5128,-742
5129,-702
5130,-558
5131,-572
5132,-450
5133,51
5134,-33
5135,-82
5136,209
5137,432
5138,364
5139,220
5140,-123
5141,168
5142,392
5143,44
5144,-162
5145,122
5146,-34
5147,-21
5148,101
5149,34
5150,-146
5151,107
5152,96
5153,127
5154,83
5155,-31
5156,16
5157,109
5158,-257
5159,-265
5160,-182
5161,-349
5162,-359
5163,48
5164,-67
5165,-127
5166,124
5167,325
5168,144
5169,165
5170,-4
5171,-24
5172,-99
5173,-95
5174,143
5175,233
5176,-170
5177,194
5178,727
5179,458
5180,-82
5181,176
5182,146
5183,-187
5184,-527
5185,-570
5186,-381
5187,-30
5188,-217
5189,10
5190,128
5191,-12
5192,408
5193,132
5194,-1150
5195,-1165
5196,-1822
5197,-2090
5198,537
5199,1879
5200,-89
5201,1254
5202,4624
5203,5034
5204,2405
5205,500
5206,-186
5207,-1122
5208,-3506
5209,-4135
5210,-3673
5211,-3206
5212,-3198
5213,-1080
5214,114
5215,1140
5216,1164
5217,2719
5218,2668
5219,2577
5220,2165
5221,2025
5222,1226
5223,637
5224,217
5225,-846
5226,-806
5227,-1636
5228,-1076
5229,-1274
5230,-902
5231,-1605
5232,-2107
5233,-558
5234,1759
5235,58
5236,-2753
5237,-364
5238,1016
5239,279
5240,-1193
5241,-697
5242,620
5243,2114
5244,2445
5245,2586
5246,2891
5247,2325
5248,3140
5249,590
5250,-3407
5251,-2651
5252,192
5253,-2362
5254,-4552
5255,-1301
5256,567
5257,-134
5258,-978
5259,281
5260,485
5261,-376
5262,-588
5263,136
5264,1400
5265,888
5266,2221
5267,2028
5268,-781
5269,458
5270,3532
5271,407
5272,-2983
5273,10
5274,1006
5275,-863
5276,-2311
5277,-1184
5278,-651
5279,-1531
5280,-1582
5281,-656
5282,754
5283,449
5284,1932
5285,2327
5286,-923
5287,-62
5288,3204
5289,1104
5290,-2600
5291,-286
5292,1305
5293,60
5294,-1243
5295,-517
5296,-80
5297,-1074
5298,-1372
5299,-539
5300,728
5301,-48
5302,1122
5303,2262
5304,-891
5305,-770
5306,2851
5307,1058
5308,-2832
5309,-681
5310,1323
5311,-92
5312,-1593
5313,-908
5314,59
5315,-591
5316,-1252
5317,-723
5318,1026
5319,683
5320,927
5321,2285
5322,95
5323,-751
5324,2062
5325,1788
5326,-2008
5327,-1236
5328,876
5329,252
5330,-1341
5331,-1092
5332,-459
5333,-858
5334,-1312
5335,-996
5336,406
5337,729
5338,718
5339,1484
5340,976
5341,245
5342,812
5343,698
5344,-661
5345,-427
5346,269
5347,-54
5348,-621
5349,-273
5350,-83
5351,-476
5352,-1411
5353,-1311
5354,-92
5355,566
5356,102
5357,718
5358,973
5359,1141
5360,1208
5361,518
5362,-854
5363,-328
5364,488
5365,-13
5366,-823
5367,-650
5368,-25
5369,221
5370,-454
5371,-1375
5372,-949
5373,74
5374,430
5375,362
5376,174
5377,529
5378,1470
5379,1322
5380,-250
5381,-651
5382,40
5383,314
5384,-235
5385,-694
5386,-593
5387,49
5388,86
5389,-381
5390,-545
5391,-546
5392,-521
5393,82
5394,574
5395,141
5396,296
5397,906
5398,882
5399,416
5400,149
5401,-10
5402,57
5403,-28
5404,-536
5405,-443
5406,-188
5407,-422
5408,-639
5409,-246
5410,-475
5411,-343
5412,-94
5413,62
5414,198
5415,497
5416,418
5417,557
5418,745
5419,371
5420,448
5421,488
5422,156
5423,-376
5424,-203
5425,-428
5426,-437
5427,-621
5428,-832
5429,-666
5430,-183
5431,-125
5432,-126
5433,211
5434,175
5435,503
5436,706
5437,412
5438,222
5439,699
5440,499
5441,75
5442,18
5443,-85
5444,-303
