samples,audio
5000,-1564
5001,-625
5002,671
5003,-219
5004,-637
5005,725
5006,825
5007,-428
5008,-262
5009,631
5010,82
5011,-686
5012,-366
5013,-78
5014,-1020
5015,-504
5016,735
5017,636
5018,830
5019,1512
5020,474
5021,82
5022,963
5023,400
5024,-1655
5025,-1430
5026,-170
5027,-633
5028,-1730
5029,-394
5030,1082
5031,358
5032,-197
5033,520
5034,1016
5035,295
5036,-196
5037,141
5038,70
5039,-410
5040,-15
5041,523
5042,452
5043,877
5044,310
5045,-134
5046,233
5047,37
5048,-884
5049,-1268
5050,-1056
5051,-595
5052,-885
5053,-760
5054,517
5055,341
5056,-211
5057,1431
5058,2051
5059,653
5060,835
5061,1540
5062,66
5063,-919
5064,-1113
5065,-1189
5066,-1487
5067,-1628
5068,-641
5069,334
5070,-208
5071,292
5072,1758
5073,1381
5074,-20
5075,15
5076,1603
5077,1030
5078,-1065
5079,-1125
5080,-503
5081,173
5082,-102
5083,-1004
5084,-818
5085,-392
5086,-621
5087,-128
5088,212
5089,-67
5090,-209
5091,172
5092,780
5093,899
5094,871
5095,620
5096,42
5097,-129
5098,-86
5099,11
5100,284
5101,607
5102,338
5103,-115
5104,-677
5105,-744
5106,-302
5107,-493
5108,-866
5109,-499
5110,-602
5111,-537
5112,-127
5113,-102
5114,324
5115,804
5116,551
5117,830
5118,937
5119,494
5120,420
5121,482
5122,119
5123,-112
5124,-412
5125,-392
5126,-458
5127,-584
5128,-730
5129,-574
5130,-420
5131,-214
5132,-220
5133,325
5134,300
5135,69
5136,344
5137,529
5138,207
5139,85
5140,-338
5141,-76
5142,193
5143,-363
5144,-451
5145,9
5146,-311
5147,-92
5148,249
5149,223
5150,167
5151,333
5152,325
5153,468
5154,258
5155,191
5156,405
5157,231
5158,-171
5159,-312
5160,-443
5161,-505
5162,-668
5163,-286
5164,-184
5165,-346
5166,-89
5167,228
5168,-95
5169,67
5170,-7
5171,-115
5172,96
5173,5
5174,183
5175,460
5176,12
5177,459
5178,1008
5179,515
5180,171
5181,363
5182,51
5183,-1
5184,-440
5185,-742
5186,-558
5187,-263
5188,-384
5189,-192
5190,-178
5191,-142
5192,246
5193,-17
5194,-960
5195,-1239
5196,-1909
5197,-1862
5198,488
5199,1846
5200,49
5201,1377
5202,4747
5203,5170
5204,2629
5205,818
5206,-258
5207,-1195
5208,-3396
5209,-4336
5210,-3413
5211,-2883
5212,-3347
5213,-1310
5214,-91
5215,1056
5216,1019
5217,2190
5218,2414
5219,2670
5220,2008
5221,2414
5222,1604
5223,554
5224,256
5225,-949
5226,-951
5227,-1554
5228,-742
5229,-942
5230,-1026
5231,-1858
5232,-1791
5233,-607
5234,1430
5235,152
5236,-2701
5237,-70
5238,1491
5239,290
5240,-1507
5241,-905
5242,309
5243,1693
5244,2146
5245,2523
5246,2844
5247,1849
5248,3211
5249,1073
5250,-3422
5251,-2594
5252,550
5253,-2180
5254,-4364
5255,-1193
5256,679
5257,115
5258,-1178
5259,62
5260,643
5261,-498
5262,-734
5263,127
5264,1278
5265,1119
5266,2529
5267,1912
5268,-1040
5269,476
5270,3388
5271,-87
5272,-3195
5273,190
5274,792
5275,-1338
5276,-2043
5277,-773
5278,-678
5279,-1209
5280,-1181
5281,-641
5282,750
5283,699
5284,2142
5285,2373
5286,-938
5287,27
5288,3012
5289,696
