samples,audio
28000,1619.3355137650306
28001,756.6605347593432
28002,763.1609105608326
28003,709.8339551257642
28004,-13.323106669103481
28005,-292.31313725096675
28006,-607.1390845344904
28007,-728.803980065718
28008,-936.3109371277421
28009,-905.6631488095127
28010,-1169.8638860391718
28011,-1141.9164955833248
28012,-407.82439801367707
28013,-531.5910856424716
28014,-778.220120428172
28015,215.28486814714586
28016,670.9201852272246
28017,545.6820727564067
28018,833.5667116782829
28019,1056.5702241567287
28020,1264.6886758178364
28021,1059.9180780112517
28022,772.2543900894264
28023,228.69352170329057
28024,193.2313351128658
28025,-169.13635248867158
28026,-795.4137666389486
28027,-1246.6051732598537
28028,-933.7148763019541
28029,-1080.7472153813278
28030,-1837.7065634102487
28031,-1828.5973242231516
28032,-1655.4239301992943
28033,-1949.1908398835035
28034,-2415.9025356063958
28035,-2281.5635211054246
28036,-2224.178319148099
28037,-2315.7514691586853
28038,-2022.2875248496916
28039,-2150.7910518594044
28040,-2116.2666253967172
28041,-1640.7188278944873
28042,-1640.152246672615
28043,-1747.5714716120133
28044,-1577.9810928406234
28045,-1196.3856984325862
28046,-1443.7898721216634
28047,-1246.1981910299846
28048,-1521.61522341315
28049,-1587.045526422701
28050,-1149.4936438869515
28051,-1226.964104111143
28052,-1612.461417697849
28053,-1692.9900753885524
28054,-1168.554545927274
28055,-1189.1592739471173
28056,-1269.8086778805687
28057,-1110.507147894367
28058,-572.2590438497355
28059,-86.06869328875246
28060,477.05961055238686
28061,1608.1216107024866
28062,1485.1130883861192
28063,1612.0298649253723
28064,3270.8678036118654
28065,2788.6228115483827
28066,2384.290841459469
28067,3104.8678934703526
28068,3923.3500168535684
28069,3379.733311742644
28070,2654.013930812259
28071,3274.1880809242757
28072,3421.25202473908
28073,2035.202082291638
28074,1985.0346325317228
28075,1523.7461148277414
28076,639.3330304336521
28077,-122.20805608156718
28078,-244.8805154424092
28079,-898.6876523137871
28080,-915.6327039869229
28081,-1411.7188391046482
28082,-1560.9491564265597
28083,-1823.3266836344687
28084,-1936.8543761785602
28085,-1664.5351161646463
28086,-1677.3717112829038
28087,-1745.3668937784228
28088,-916.5233194639272
28089,-465.84356677495964
28090,186.6698641321865
28091,689.0145522395126
28092,763.1881564831087
28093,1800.1884165254746
28094,1681.0131534841707
28095,978.6602706166445
28096,1393.127753961075
28097,1402.413672933117
28098,482.5161808784622
28099,-130.5664844188587
28100,-4.836000272484
28101,177.70604132595633
28102,-911.9418659177895
28103,-1514.781142269491
28104,-1498.8131216795412
28105,-1782.0390515401605
28106,-2671.4600924865863
28107,-3409.077318242083
28108,-2835.8917155065838
28109,-3247.90418388875
28110,-3285.1155358812002
28111,-3593.5264968786123
28112,-3081.1377052383928
28113,-2651.9497123835718
28114,-2663.9629829475384
28115,-2711.177894960208
28116,-1993.5947400751882
28117,-1550.2137238374742
28118,-1074.034965991163
28119,-853.058500826671
28120,-219.28427756689257
28121,-402.7121607917261
28122,-121.34193090035274
28123,-3.1732846106644956
28124,-232.20583549517664
28125,-917.4391145527637
28126,-2.872570815537074
28127,-75.5055719901668
28128,-1045.3374051329185
28129,-290.3672773576849
