samples,audio
5000,-1705
5001,-396
5002,411
5003,-525
5004,-493
5005,690
5006,820
5007,-102
5008,-69
5009,668
5010,521
5011,-296
5012,-717
5013,-719
5014,-1270
5015,-969
5016,132
5017,933
5018,1175
5019,1125
5020,596
5021,903
5022,1304
5023,311
5024,-1648
5025,-1368
5026,-414
5027,-700
5028,-1563
5029,-723
5030,662
5031,401
5032,-501
5033,381
5034,1545
5035,603
5036,-236
5037,175
5038,50
5039,-520
5040,-387
5041,413
5042,668
5043,715
5044,88
5045,108
5046,379
5047,27
5048,-640
5049,-951
5050,-930
5051,-550
5052,-541
5053,-918
5054,-237
5055,279
5056,-262
5057,633
5058,1843
5059,1140
5060,857
5061,1764
5062,822
5063,-610
5064,-1192
5065,-1319
5066,-1292
5067,-1262
5068,-1177
5069,-329
5070,407
5071,366
5072,645
5073,1277
5074,701
5075,235
5076,690
5077,560
5078,-34
5079,-19
5080,-311
5081,-454
5082,-521
5083,-687
5084,-566
5085,-303
5086,-494
5087,-191
5088,258
5089,-73
5090,-227
5091,312
5092,307
5093,208
5094,391
5095,474
5096,516
5097,773
5098,423
5099,216
5100,82
5101,-105
5102,-122
5103,-240
5104,-880
5105,-667
5106,-69
5107,-212
5108,-553
5109,-376
5110,-284
5111,-75
5112,22
5113,3
5114,-16
5115,153
5116,47
5117,339
5118,568
5119,295
5120,305
5121,784
5122,543
5123,349
5124,294
5125,62
5126,-132
5127,-251
5128,-735
5129,-686
5130,-532
5131,-585
5132,-479
5133,25
5134,-123
5135,-162
5136,230
5137,460
5138,359
5139,170
5140,-196
5141,189
5142,462
5143,33
5144,-179
5145,135
5146,-36
5147,-10
5148,122
5149,-1
5150,-200
5151,97
5152,86
5153,126
5154,101
5155,-25
5156,62
5157,191
5158,-224
5159,-241
5160,-163
5161,-366
5162,-382
5163,47
5164,-125
5165,-190
5166,138
5167,363
5168,164
5169,186
5170,-13
5171,-34
5172,-105
5173,-134
5174,109
5175,157
5176,-285
5177,187
5178,806
5179,470
5180,-99
5181,226
5182,263
5183,-45
5184,-396
5185,-527
5186,-400
5187,-128
5188,-422
5189,-110
5190,179
5191,159
5192,737
5193,627
5194,-940
5195,-1189
5196,-2146
5197,-2509
5198,126
5199,1169
5200,-1199
5201,859
5202,5156
5203,5727
5204,2870
5205,841
5206,319
5207,-638
5208,-3209
5209,-3864
5210,-3449
5211,-3229
5212,-3436
5213,-1339
5214,-258
5215,669
5216,702
5217,2426
5218,2484
5219,2589
5220,2318
5221,2195
5222,1339
5223,751
5224,375
5225,-668
5226,-446
5227,-1341
5228,-761
5229,-1184
5230,-1150
5231,-2052
5232,-2352
5233,-304
5234,2176
5235,-49
5236,-3129
5237,-14
5238,1498
5239,350
5240,-1661
5241,-1624
5242,-370
5243,1473
5244,2212
5245,2747
5246,3492
5247,2876
5248,3743
5249,723
5250,-3567
5251,-2313
5252,767
5253,-2652
5254,-5104
