samples,audio
28000,2351.210897335507
28001,1789.1970460599268
28002,1738.1831268931292
28003,1013.1691573013602
28004,207.15515486147933
28005,43.141137244445645
28006,-1013.8728778005843
28007,-1211.8868724615786
28008,-1544.9008288784084
28009,-1920.9147291571148
28010,-2491.928555383716
28011,-1954.9422896375863
28012,-1517.9559140044796
28013,-1947.9694105892268
28014,-1524.9827615281733
28015,-198.99594900140596
28016,19.991044755171032
28017,646.978237437863
28018,1654.9656466632464
28019,1471.9532899562134
28020,2368.941184737947
28021,3015.929348313748
28022,2375.9177978606713
28023,1561.9065504149037
28024,2440.8956228588236
28025,2140.8850319076732
28026,524.8747940958049
28027,252.8649257624246
28028,761.8554430367788
28029,-147.15363817726757
28030,-1204.1623022173144
28031,-1544.1705336792234
28032,-1806.1783174346638
28033,-2188.185638649443
28034,-2907.1924828026545
28035,-3616.1988357066684
28036,-3176.2046835279507
28037,-2825.2100128087486
28038,-2905.214810489597
28039,-3624.2190639326473
28040,-2398.2227609457877
28041,-1430.2258898075156
28042,-2000.228439292505
28043,-1717.2303986978104
28044,-602.2317578696271
28045,-15.23250723052638
28046,-480.2326378070718
28047,35.76785874229017
28048,81.76899009916588
28049,-260.2292367428904
28050,113.77318449359177
28051,-239.2237406578306
28052,-903.2200074349945
28053,-1079.2156118741307
28054,-923.2105508362378
28055,-1330.204822032687
28056,-1779.1984240499091
28057,-1550.1913563730122
28058,-1589.1836194081882
28059,-1453.1752145037526
28060,-439.1661439696809
28061,1307.8435889045056
28062,102.85397983362827
28063,661.8650235226708
28064,3467.8767136546194
28065,3075.889042880455
28066,2187.90200281141
28067,4198.91558401357
28068,5286.929776004884
28069,4984.944567254686
28070,4952.9599451857575
28071,5637.975896178978
28072,5365.992405580578
28073,4561.009457712007
28074,4701.0270358824055
28075,2618.04512240364
28076,1658.0636986078935
28077,1403.0827448676828
28078,-211.89775938170806
28079,-1671.8778356174944
28080,-883.8575062024479
28081,-2895.8367943558515
28082,-3949.8157241224626
28083,-3491.794320339616
28084,-3602.7726086025923
28085,-4719.750615228393
28086,-3988.7283672180483
28087,-3312.705892217605
28088,-2847.6832184779432
28089,-2059.6603748135376
28090,475.3626094396659
28091,454.38570446712424
28092,945.4088800191844
28093,3987.4321054550323
28094,3750.4553497869674
28095,2661.4785817248694
28096,4491.501769720681
28097,5041.524882012789
28098,3055.547886670156
28099,2690.5707516360544
28100,3294.5934447712407
28101,2418.6159338964526
28102,578.6381868340723
28103,595.6601714488186
28104,-1218.3181443126718
28105,-2236.296792383497
28106,-2742.2758045395076
28107,-4338.255212363791
28108,-5575.235047212758
28109,-4612.215340183894
28110,-4517.196122085263
28111,-6172.17742340684
28112,-5615.159274293714
28113,-3196.141704521201
28114,-3964.124743471914
28115,-4029.1084201147432
28116,-1948.0927629857963
28117,-1302.0778001712292
28118,-660.0635592919282
28119,666.9499325099969
28120,1108.9626485829863
28121,597.9745627761567
28122,1679.985649447875
28123,1591.9958834728761
28124,-90.9947597519481
28125,-581.9863043029662
28126,559.0212262736932
28127,-1265.9721910352998
28128,-2296.966578708706
28129,-1687.9619586896072
28130,-2143.9583523847905
28131,-2843.955780664476
28132,-2424.954263862235
28133,-1711.953821774943
28134,219.04552633739104
28135,-1159.9562382479298
28136,-662.9591337154088
28137,2473.0368222900893
28138,3116.0316126655125
28139,1906.0252208526385
28140,3369.0176308420687
28141,6009.008827178309
28142,5974.998794966037
28143,5215.987519877626
28144,5878.974988162017
28145,7949.961186654976
28146,5766.9461027907855
28147,5541.9297246154
28148,4722.912040801009
28149,4036.8930406620675
28150,2202.872714172703
28151,1003.8510519854829
28152,-708.1719545485416
28153,-69.19631335857639
28154,-3054.222031631727
28155,-3755.2491157896075
28156,-3826.2775714640848
28157,-3606.307403472225
28158,-5180.3386157906025
28159,-4835.371211529077
28160,-4062.405192904217
28161,-2910.440561212464
28162,-2595.4773168032143
28163,-740.5154590519301
28164,-46.55498633343291
28165,533.40410400449
28166,3226.3618156670145
28167,3186.3181534376004
28168,3125.2731232025753
28169,4891.226731974828
28170,5207.178987916473
28171,3486.1299003603485
28172,3899.0794798302013
28173,3738.0277380594043
28174,2736.974688008085
28175,981.9203438785165
28176,1296.864721128638
28177,-922.1921635164308
28178,-2535.250292054991
28179,-2820.309645201624
28180,-4262.370202382398
28181,-6585.431941732521
28182,-5537.49484009652
28183,-5485.558873031058
28184,-6791.624014810395
28185,-6365.69023843456
28186,-4348.757515640245
28187,-4273.825816914419
28188,-4563.895111510676
28189,-2219.965367468275
28190,-1333.036551633828
28191,-895.1086296855412
28192,355.8184338400347
28193,836.7446755188671
28194,959.670133008025
28195,1820.594845012099
28196,1567.518851247588
28197,526.4421924054243
28198,719.3649101117694
28199,958.2870468872602
28200,-953.7913538951403
28201,-1841.8702480535048
28202,-1026.9495906413458
28203,-1930.029335992869
28204,-2774.109437768892
28205,-2764.18984900324
28206,-889.2705221494358
